Day,Avg precip,Avg low,Avg high,Min low,Max high,Min low year,Max high year
02/27,0.11009615384615384,17.721153846153847,38.55769230769231,-9,62,-9,62
02/28,0.0883177570093458,18.49532710280374,39.00934579439252,-11,61,-11,61
03/01,0.14872549019607842,18.098039215686274,39.18627450980392,-6,65,-6,65
03/02,0.1725,20.67,40.03,-5,65,-5,65
03/03,0.11018867924528301,19.88679245283019,39.45283018867924,-6,63,-6,63
03/04,0.12762376237623763,19.07920792079208,39.9009900990099,-12,63,-12,63
03/05,0.1564705882352941,21.784313725490197,40.705882352941174,-9,68,-9,68
03/06,0.12872549019607843,20.470588235294116,40.84313725490196,-13,60,-13,60
03/07,0.14152380952380952,20.35238095238095,40.19047619047619,-9,67,-9,67
03/08,0.1425,22.192307692307693,41.13461538461539,-4,68,-4,68
03/09,0.16242990654205608,21.57943925233645,42.3177570093458,-4,77,-4,77
03/10,0.08826530612244898,21.357142857142858,42.30612244897959,-9,76,-9,76
03/11,0.11356435643564357,22.10891089108911,42.554455445544555,0,65,0,65
03/12,0.1359433962264151,22.78301886792453,43.235849056603776,-8,70,-8,70
03/13,0.15362745098039216,24.45098039215686,43.69607843137255,4,72,4,72
03/14,0.12229166666666667,25.135416666666668,43.958333333333336,3,72,3,72
03/15,0.15762376237623762,24.762376237623762,43.84158415841584,4,70,4,70
03/16,0.12310679611650485,23.184466019417474,43.29126213592233,-5,71,-5,71
03/17,0.14192660550458716,22.761467889908257,42.706422018348626,-5,73,-5,73
03/18,0.07306930693069306,23.11881188118812,43.42574257425743,-9,79,-9,79
03/19,0.1429,23.52,43.47,-18,76,-18,76
03/20,0.14735294117647058,25.19607843137255,45.3921568627451,2,79,2,79
03/21,0.16155339805825242,25.805825242718445,45.99029126213592,2,83,2,83
03/22,0.113,25.73,45.83,-4,84,-4,84
03/23,0.09897959183673469,25.857142857142858,47.816326530612244,9,82,9,82
03/24,0.0737,25.63,47.2,-2,71,-2,71
03/25,0.09226415094339623,25.72641509433962,47.41509433962264,0,72,0,72
03/26,0.08056603773584906,27.132075471698112,50.367924528301884,0,75,0,75
03/27,0.1421904761904762,29.085714285714285,50.304761904761904,9,76,9,76
03/28,0.11892156862745099,28.813725490196077,50.294117647058826,9,85,9,85
03/29,0.12168316831683168,28.15841584158416,50.23762376237624,0,79,0,79
03/30,0.12847619047619047,29.561904761904763,49.50476190476191,11,84,11,84
03/31,0.12196078431372549,30.715686274509803,50.77450980392157,10,89,10,89
04/01,0.15841584158415842,30.059405940594058,51.68316831683168,8,89,8,89
04/02,0.22106796116504854,30.74757281553398,50.029126213592235,10,74,10,74
04/03,0.13613861386138615,30.396039603960396,50.31683168316832,17,75,17,75
04/04,0.17616161616161616,30.03030303030303,50.17171717171717,9,72,9,72
04/05,0.1973,30.35,51.54,10,75,10,75
04/06,0.13173076923076923,30.548076923076923,52.92307692307692,16,78,16,78
04/07,0.13288659793814434,31.515463917525775,52.30927835051546,14,83,14,83
04/08,0.1282075471698113,31.849056603773583,51.4622641509434,17,83,17,83
04/09,0.0974074074074074,30.22222222222222,52.53703703703704,12,84,12,84
04/10,0.13754901960784313,30.794117647058822,53.88235294117647,20,80,20,80
04/11,0.10368932038834952,32.09708737864078,54.77669902912621,17,87,17,87
04/12,0.11912621359223301,31.902912621359224,55.16504854368932,20,86,20,86
04/13,0.16794117647058823,31.352941176470587,54.794117647058826,16,84,16,84
04/14,0.11549019607843138,32.92156862745098,56.588235294117645,16,79,16,79
04/15,0.11771428571428572,33.01904761904762,57.266666666666666,18,83,18,83
04/16,0.22554455445544555,33.17821782178218,57.32673267326733,17,86,17,86
04/17,0.13692307692307693,33.95192307692308,59.16346153846154,22,93,22,93
04/18,0.11476190476190476,34.78095238095238,59.13333333333333,20,90,20,90
04/19,0.08879629629629629,34.342592592592595,60.101851851851855,19,89,19,89
04/20,0.11365384615384616,34.31730769230769,59.06730769230769,17,87,17,87
04/21,0.08097087378640777,35.14563106796116,60.737864077669904,21,86,21,86
04/22,0.13607476635514018,36.6822429906542,60.85981308411215,23,86,23,86
